Chemical formula,Radius A [ang],Elec. Negativity A,Mass A,Radius B [ang],Elec. Negativity B,Mass B,Vacancy energy [eV/O atom]
AlFeO3,0.54,1.61,26.981539,0.65,1.83,55.845,-2.445
AsFeO3,0.58,2.18,74.92159,0.65,1.83,55.845,-0.724
AuFeO3,0.93,2.54,196.96654,0.67,1.83,55.845,-1.534
BFeO3,0.27,2.04,10.811,0.59,1.83,55.845,-3.619
BaFeO3,1.61,0.89,137.327,0.59,1.83,55.845,1.185
BeFeO3,0.45,1.57,9.012182,0.59,1.83,55.845,-1.666
BiFeO3,1.38,2.02,208.98037,0.65,1.83,55.845,2.587
CaFeO3,1.34,1,40.078,0.59,1.83,55.845,1.132
CdFeO3,1.31,1.69,112.411,0.59,1.83,55.845,0.208
CeFeO3,1.34,1.12,140.115,0.65,1.83,55.845,4.094
CoFeO3,0.61,1.88,58.9332,0.65,1.83,55.845,-0.624
CrFeO3,0.8,1.66,51.9961,0.59,1.83,55.845,-1.245
CuFeO3,0.73,1.9,63.546,0.59,1.83,55.845,-1.512
DyFeO3,1.08,1.22,162.5,0.65,1.83,55.845,3.193
EuFeO3,1.12,1.2,151.965,0.65,1.83,55.845,1.667
GaFeO3,0.62,1.81,69.723,0.67,1.83,55.845,-2.251
GdFeO3,1.11,1.2,157.25,0.65,1.83,55.845,3.384
GeFeO3,0.73,2.01,72.61,0.59,1.83,55.845,0.461
HgFeO3,1.14,2,200.59,0.59,1.83,55.845,-0.324
HoFeO3,1.12,1.23,164.93032,0.65,1.83,55.845,3.094
IrFeO3,0.68,2.2,192.22,0.65,1.83,55.845,-4.804
KFeO3,1.64,0.82,39.0983,0.67,1.83,55.845,-0.61
LaFeO3,1.36,1.1,138.9055,0.65,1.83,55.845,4.037
LiFeO3,0.92,0.98,6.941,0.59,1.83,55.845,-0.831
LuFeO3,1.03,1.27,174.967,0.65,1.83,55.845,2.726
MgFeO3,0.89,1.31,24.305,0.59,1.83,55.845,0.07
MnFeO3,0.96,1.55,54.93805,0.59,1.83,55.845,0.308
MoFeO3,0.65,2.16,95.94,0.78,1.83,55.845,-2.265
NaFeO3,1.39,0.93,22.989768,0.67,1.83,55.845,-0.436
NbFeO3,0.72,1.6,92.90638,0.65,1.83,55.845,-0.263
NdFeO3,1.27,1.14,144.24,0.65,1.83,55.845,3.83
NpFeO3,0.98,1.36,237.048,0.67,1.83,55.845,4.556
OsFeO3,0.57,2.2,190.2,0.67,1.83,55.845,-4.938
PbFeO3,1.49,1.87,207.2,0.59,1.83,55.845,0.789
PdFeO3,0.76,2.2,106.42,0.65,1.83,55.845,-1.858
PmFeO3,1.14,1.13,145,0.67,1.83,55.845,3.7
PrFeO3,1.18,1.13,140.90765,0.65,1.83,55.845,3.968
PtFeO3,0.67,2.28,195.08,0.67,1.83,55.845,-3.036
RbFeO3,1.72,0.82,85.4678,0.67,1.83,55.845,-1.062
ReFeO3,0.58,1.9,186.207,0.78,1.83,55.845,-4.592
RhFeO3,0.67,2.28,102.9055,0.65,1.83,55.845,-2.494
RuFeO3,0.68,2.2,101.07,0.59,1.83,55.845,-2.602
SbFeO3,0.76,2.05,121.757,0.65,1.83,55.845,1.172
ScFeO3,0.87,1.36,44.95591,0.67,1.83,55.845,1.505
SiFeO3,0.4,1.9,28.0855,0.59,1.83,55.845,-1.814
SmFeO3,1.24,1.17,150.36,0.65,1.83,55.845,3.624
SnFeO3,0.81,1.96,118.71,0.59,1.83,55.845,0.792
SrFeO3,1.44,0.95,87.62,0.59,1.83,55.845,1.378
TaFeO3,0.74,1.5,180.9479,0.59,1.83,55.845,-4.452
TbFeO3,1.1,1.1,158.92534,0.65,1.83,55.845,3.264
TcFeO3,0.6,1.9,98,0.67,1.83,55.845,-1.97
TeFeO3,0.97,2.1,127.6,0.59,1.83,55.845,-0.992
ThFeO3,1.21,1.3,232.0381,0.78,1.83,55.845,3.482
TiFeO3,0.86,1.54,47.88,0.59,1.83,55.845,-0.463
TlFeO3,0.98,1.62,204.3833,0.65,1.83,55.845,-0.727
TmFeO3,1.05,1.25,168.93421,0.65,1.83,55.845,2.865
UFeO3,1.03,1.38,238.0289,0.65,1.83,55.845,2.177
WFeO3,0.66,2.36,183.85,0.65,1.83,55.845,-2.876
YFeO3,1.08,1.22,88.90585,0.65,1.83,55.845,3.19
YbFeO3,1.04,1.1,173.04,0.65,1.83,55.845,1.336
ZnFeO3,0.9,1.65,65.39,0.59,1.83,55.845,-0.75
ZrFeO3,0.89,1.33,91.224,0.65,1.83,55.845,1.3
