Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],A-AtomicNumber,A-AtomicMass,A-NumberofNeutrons,A-NumberofProtons,A-NumberofElectrons,A-Period,A-Group,A-AtomicRadius,A-Electronegativity,A-FirstIonization,A-Density,A-MeltingPoint,A-BoilingPoint,A-NumberOfIsotopes,A-SpecificHeat,A-NumberofShells,B-AtomicNumber,B-AtomicMass,B-NumberofNeutrons,B-NumberofProtons,B-NumberofElectrons,B-Period,B-Group,B-Electronegativity,B-FirstIonization,B-Density,B-MeltingPoint,B-BoilingPoint,B-NumberOfIsotopes,B-SpecificHeat,B-NumberofShells,Vacancy energy [eV/O atom]
DyAcO3,Dy,Ac,FALSE,element not in BV,element not in BV,1.08,1.12,cubic,-2.161,1.554,0,20.224,0,4.659,4.659,4.659,90,90,90,66,162.5,97,66,66,6,,2.5,1.22,5.9389,8.55,1680.15,2840,21,0.17,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.805
ErAcO3,Er,Ac,FALSE,element not in BV,element not in BV,1.06,1.12,orthorhombic,-3.539,0.209,0,17.048,3.463,6.095,6.24,8.964,90,90,90,68,167.259,99,68,68,6,,2.5,1.24,6.1077,9.07,1795.15,3503,16,0.168,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.52
EuAcO3,Eu,Ac,FALSE,element not in BV,element not in BV,1.48,1.12,cubic,-2.572,0.576,0.073,19.427,0,4.597,4.597,4.597,90,90,90,63,151.964,89,63,63,6,,2.6,1.2,5.6704,5.24,1095.15,1802,21,0.182,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.486
FeAcO3,Fe,Ac,FALSE,element not in BV,element not in BV,0.85,1.12,orthorhombic,-2.546,0.185,1,15.314,1.947,5.802,5.819,9.072,90,90,90,26,55.845,30,26,26,4,8,1.7,1.83,7.9024,7.87,1808.15,3134,10,0.449,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
GaAcO3,Ga,Ac,FALSE,element not in BV,element not in BV,0.62,1.12,orthorhombic,-2.856,0.057,0,15.888,2.996,4.54,6.777,10.328,90,90,90,31,69.723,39,31,31,4,13,1.8,1.81,5.9993,5.91,302.91,2477,14,0.371,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.981
GdAcO3,Gd,Ac,FALSE,element not in BV,element not in BV,1.11,1.12,cubic,-2.225,1.461,0,20.281,0,4.663,4.663,4.663,90,90,90,64,157.25,93,64,64,6,,2.5,1.2,6.1501,7.9,1585.15,3546,17,0.236,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.081
GeAcO3,Ge,Ac,FALSE,element not in BV,element not in BV,0.63,1.12,orthorhombic,-2.55,0.09,0,16.432,0,5.918,6.3,8.815,90,90,90,32,72.64,41,32,32,4,14,1.5,2.01,7.8994,5.32,1211.45,3106,17,0.32,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.55
HfAcO3,Hf,Ac,FALSE,element not in BV,element not in BV,0.83,1.12,orthorhombic,-3.244,0.273,-0.001,15.476,0,5.924,6.723,7.772,90,90,90,72,178.49,106,72,72,6,4,2.2,1.3,6.8251,13.3,2500.15,4876,17,0.144,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-4.516
HgAcO3,Hg,Ac,FALSE,element not in BV,element not in BV,1.14,1.12,cubic,-1.292,0.68,0,19.064,0,4.568,4.568,4.568,90,90,90,80,200.59,121,80,80,6,12,1.8,2,10.4375,13.5,234.43,630,26,0.14,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.886
HoAcO3,Ho,Ac,FALSE,element not in BV,element not in BV,1.12,1.12,orthorhombic,-3.535,0.196,0,17.119,3.62,6.113,6.255,8.953,90,90,90,67,164.93,98,67,67,6,,2.5,1.23,6.0215,8.8,1743.15,2993,29,0.165,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.642
InAcO3,In,Ac,FALSE,element not in BV,element not in BV,0.92,1.12,orthorhombic,-2.553,0.195,0,16.666,1.489,6.073,6.095,9.005,90,90,90,49,114.818,66,49,49,5,13,2,1.78,5.7864,7.31,429.91,2345,34,0.233,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.62
IrAcO3,Ir,Ac,FALSE,element not in BV,element not in BV,0.63,1.12,rhombohedral,-1.891,0.378,0,15.782,0.302,5.783,5.783,5.783,67.2,67.2,67.2,77,192.217,115,77,77,6,9,1.9,2.2,8.967,22.6,2716.15,4701,25,0.131,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-9.665
KAcO3,K,Ac,FALSE,element not in BV,element not in BV,1.64,1.12,rhombohedral,-2.058,0.31,0,18.497,0,6.385,6.385,6.385,60.2,60.2,60.2,19,39.098,20,19,19,4,1,2.8,0.82,4.3407,0.862,336.5,1032,10,0.757,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.448
LaAcO3,La,Ac,FALSE,element not in BV,element not in BV,1.36,1.12,cubic,-2.568,1.078,-0.002,20.589,0.273,4.687,4.687,4.687,90,90,90,57,138.905,82,57,57,6,3,2.7,1.1,5.5769,6.15,1193.15,3737,19,0.195,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,2.449
LiAcO3,Li,Ac,FALSE,element not in BV,element not in BV,0.92,1.12,orthorhombic,-2.369,0.103,0,13.879,2.806,5.9,6.224,7.559,90,90,90,3,6.941,4,3,3,2,1,2.1,0.98,5.3917,0.534,453.85,1615,5,3.582,2,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.964
LuAcO3,Lu,Ac,FALSE,element not in BV,element not in BV,1.03,1.12,orthorhombic,-3.553,0.24,0,16.779,3.32,6.073,6.194,8.921,90,90,90,71,174.967,104,71,71,6,,2.3,1.27,5.4259,9.84,1936.15,3675,22,0.154,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.046
MgAcO3,Mg,Ac,FALSE,element not in BV,element not in BV,0.89,1.12,orthorhombic,-2.778,0.199,0.2,15.257,0.592,5.598,6.166,8.84,90,90,90,12,24.305,12,12,12,3,2,1.7,1.31,7.6462,1.74,923.15,1363,8,1.023,3,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
MnAcO3,Mn,Ac,FALSE,element not in BV,element not in BV,0.96,1.12,orthorhombic,-2.604,0.314,0.8,15.237,0.299,5.902,5.987,8.625,90,90,90,25,54.938,30,25,25,4,7,1.8,1.55,7.434,7.44,1519.15,2334,11,0.479,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.019
MoAcO3,Mo,Ac,FALSE,element not in BV,element not in BV,0.73,1.12,rhombohedral,-2.403,0.356,0.2,16.382,0,5.917,5.917,5.917,65.4,65.4,65.4,42,95.96,54,42,42,5,6,2,2.16,7.0924,10.2,2890.15,4912,20,0.251,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-8.478
NaAcO3,Na,Ac,FALSE,element not in BV,element not in BV,1.39,1.12,orthorhombic,-2.018,0.352,0.1,16.191,0,6.063,6.228,8.575,90,90,90,11,22.99,12,11,11,3,1,2.2,0.93,5.1391,0.971,371.15,1156,7,1.228,3,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.778
NbAcO3,Nb,Ac,FALSE,element not in BV,element not in BV,0.77,1.12,rhombohedral,-2.769,0.268,0,17.012,0.448,6.029,6.029,6.029,64.5,64.5,64.5,41,92.906,52,41,41,5,5,2.1,1.6,6.7589,8.57,2741.15,5017,24,0.265,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.015
NdAcO3,Nd,Ac,FALSE,element not in BV,element not in BV,1.27,1.12,cubic,-2.374,1.226,0,20.452,0,4.676,4.676,4.676,90,90,90,60,144.242,84,60,60,6,,2.6,1.14,5.525,7.01,1289.15,3347,16,0.19,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.695
NiAcO3,Ni,Ac,FALSE,element not in BV,element not in BV,0.59,1.12,rhombohedral,-2.038,0.327,0.6,16.181,0,6.367,6.367,6.367,55.1,55.1,55.1,28,58.693,31,28,28,4,10,1.6,1.91,7.6398,8.91,1726.15,3186,11,0.444,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-5.89
NpAcO3,Np,Ac,FALSE,element not in BV,element not in BV,0.98,1.12,cubic,-2.417,1.113,0.8,20.378,0,4.671,4.671,4.671,90,90,90,93,237,144,93,93,7,,,1.36,6.2657,20.5,913.15,4273,153,,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.788
OsAcO3,Os,Ac,FALSE,element not in BV,element not in BV,0.57,1.12,orthorhombic,-1.968,0.345,0.2,17.298,0,6.186,6.51,8.59,90,90,90,76,190.23,114,76,76,6,8,1.9,2.2,8.4382,22.6,3300.15,5285,19,0.13,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-4.356
PaAcO3,Pa,Ac,FALSE,element not in BV,element not in BV,0.95,1.12,cubic,-1.64,1.544,0.392,20.472,0,4.678,4.678,4.678,90,90,90,91,231.036,140,91,91,7,,,1.5,5.89,15.4,1873.15,4300,14,,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.704
PbAcO3,Pb,Ac,FALSE,element not in BV,element not in BV,1.49,1.12,cubic,-1.799,0.608,0.11,19.884,0,4.633,4.633,4.633,90,90,90,82,207.2,125,82,82,6,14,1.8,2.33,7.4167,11.3,600.75,2022,29,0.129,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.558
PdAcO3,Pd,Ac,FALSE,element not in BV,element not in BV,0.75,1.12,orthorhombic,-1.838,0.334,0,15.784,0,5.948,6.172,8.599,90,90,90,46,106.42,60,46,46,5,10,1.8,2.2,8.3369,12,1825.15,3236,21,0.244,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-4.68
PmAcO3,Pm,Ac,FALSE,element not in BV,element not in BV,1.14,1.12,cubic,-2.333,1.295,0,20.362,0,4.669,4.669,4.669,90,90,90,61,145,84,61,61,6,,2.6,1.13,5.582,7.26,1204.15,3273,14,,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.524
PrAcO3,Pr,Ac,FALSE,element not in BV,element not in BV,1.18,1.12,cubic,-2.418,1.16,0,20.551,0,4.684,4.684,4.684,90,90,90,59,140.908,82,59,59,6,,2.7,1.13,5.473,6.77,1204.15,3793,15,0.193,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.878
PtAcO3,Pt,Ac,FALSE,element not in BV,element not in BV,0.67,1.12,orthorhombic,-1.849,0.289,0,15.994,0,5.963,6.43,8.342,90,90,90,78,195.084,117,78,78,6,10,1.8,2.28,8.9587,21.5,2045.15,4098,32,0.133,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-7.392
PuAcO3,Pu,Ac,FALSE,element not in BV,element not in BV,0.96,1.12,-,-,-,-,-,-,-,-,-,-,-,-,94,244,150,94,94,7,,,1.28,6.0262,19.8,913.15,3501,163,,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
RbAcO3,Rb,Ac,FALSE,element not in BV,element not in BV,1.72,1.12,cubic,-2.058,0.3,0.001,19.179,0,4.577,4.577,4.577,90,90,90,37,85.468,48,37,37,5,1,3,0.82,4.1771,1.53,312.79,961,20,0.363,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.358
ReAcO3,Re,Ac,FALSE,element not in BV,element not in BV,0.57,1.12,cubic,-0.321,2.237,1.05,19.192,0,4.578,4.578,4.578,90,90,90,75,186.207,111,75,75,6,7,2,1.9,7.8335,21,3453.15,5869,21,0.137,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-9.834
RhAcO3,Rh,Ac,FALSE,element not in BV,element not in BV,0.61,1.12,orthorhombic,-1.964,0.37,0,15.416,0.3,5.788,6.016,8.855,90,90,90,45,102.906,58,45,45,5,9,1.8,2.28,7.4589,12.4,2239.15,3968,20,0.243,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-6.432
RuAcO3,Ru,Ac,FALSE,element not in BV,element not in BV,0.62,1.12,rhombohedral,-1.999,0.361,0.2,15.776,0,5.82,5.82,5.82,66.1,66.1,66.1,44,101.07,57,44,44,5,8,1.9,2.2,7.3605,12.4,2523.15,4423,16,0.238,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-7.459
SbAcO3,Sb,Ac,FALSE,element not in BV,element not in BV,0.68,1.12,cubic,-1.305,1.275,0.017,19.939,0,4.637,4.637,4.637,90,90,90,51,121.76,71,51,51,5,15,1.5,2.05,8.6084,6.69,904.05,1860,29,0.207,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
ScAcO3,Sc,Ac,FALSE,element not in BV,element not in BV,0.87,1.12,orthorhombic,-3.507,0.255,0,16.091,3.507,5.962,6.047,8.927,90,90,90,21,44.956,24,21,21,4,3,2.1,1.36,6.5615,2.99,1812.15,3109,15,0.568,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-6.533
SiAcO3,Si,Ac,FALSE,element not in BV,element not in BV,0.4,1.12,cubic,-1.067,2.106,0.018,19.279,0,4.585,4.585,4.585,90,90,90,14,28.086,14,14,14,3,14,1.5,1.9,8.1517,2.33,1683.15,3538,8,0.705,3,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-5.849
SmAcO3,Sm,Ac,FALSE,element not in BV,element not in BV,1.24,1.12,cubic,-2.298,1.342,0,20.308,0,4.665,4.665,4.665,90,90,90,62,150.36,88,62,62,6,,2.6,1.17,5.6437,7.52,1345.15,2067,17,0.197,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.391
SnAcO3,Sn,Ac,FALSE,element not in BV,element not in BV,0.81,1.12,cubic,-1.676,1.007,0.061,19.752,0,4.622,4.622,4.622,90,90,90,50,118.71,69,50,50,5,14,1.7,1.96,7.3439,7.29,505.21,2875,28,0.228,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.151
SrAcO3,Sr,Ac,FALSE,element not in BV,element not in BV,1.44,1.12,orthorhombic,-2.874,0.152,0.2,18.136,0,6.232,6.48,8.981,90,90,90,38,87.62,50,38,38,5,2,2.5,0.95,5.6949,2.64,1042.15,1655,18,0.301,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.007
TaAcO3,Ta,Ac,FALSE,element not in BV,element not in BV,0.74,1.12,rhombohedral,-2.889,0.216,0,17.361,1.223,6.155,6.155,6.155,62.4,62.4,62.4,73,180.948,108,73,73,6,5,2.1,1.5,7.5496,16.7,3269.15,5731,19,0.14,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-6.053
TbAcO3,Tb,Ac,FALSE,element not in BV,element not in BV,1.1,1.12,cubic,-2.061,1.509,0.001,20.243,0,4.66,4.66,4.66,90,90,90,65,158.925,94,65,65,6,,2.5,1.2,5.8638,8.23,1630.15,3503,24,0.182,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.939
TcAcO3,Tc,Ac,FALSE,element not in BV,element not in BV,0.6,1.12,rhombohedral,-2.235,0.32,0.4,16.243,0.516,5.908,5.908,5.908,65.2,65.2,65.2,43,98,55,43,43,5,7,2,1.9,7.28,11.5,2473.15,5150,23,,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-6.497
TeAcO3,Te,Ac,FALSE,element not in BV,element not in BV,0.77,1.12,cubic,-1.138,1.236,0.008,19.929,0,4.636,4.636,4.636,90,90,90,52,127.6,76,52,52,5,16,1.4,2.1,9.0096,6.23,722.8,1261,29,0.202,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-4.092
ThAcO3,Th,Ac,FALSE,element not in BV,element not in BV,1.21,1.12,cubic,-2.187,1.549,0.013,20.28,0,4.663,4.663,4.663,90,90,90,90,232.038,142,90,90,7,,,1.3,6.3067,11.7,2028.15,5061,12,0.113,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.367
TiAcO3,Ti,Ac,FALSE,element not in BV,element not in BV,0.74,1.12,rhombohedral,-3.156,0.287,0.2,16.959,0.598,6.304,6.304,6.304,58.1,58.1,58.1,22,47.867,26,22,22,4,4,2,1.54,6.8281,4.54,1933.15,3560,9,0.523,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-7.753
TlAcO3,Tl,Ac,FALSE,element not in BV,element not in BV,1.7,1.12,cubic,-1.676,0.595,-0.002,19.189,0,4.578,4.578,4.578,90,90,90,81,204.383,123,81,81,6,13,2.1,2.04,6.1082,11.9,577.15,1746,28,0.129,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.622
TmAcO3,Tm,Ac,FALSE,element not in BV,element not in BV,1.05,1.12,orthorhombic,-3.548,0.223,0,16.948,3.315,6.091,6.223,8.943,90,90,90,69,168.934,100,69,69,6,,2.4,1.25,6.1843,9.32,1818.15,2223,18,0.16,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.334
UAcO3,U,Ac,FALSE,element not in BV,element not in BV,1.17,1.12,cubic,-2.164,1.345,0.602,20.164,0,4.654,4.654,4.654,90,90,90,92,238.029,146,92,92,7,,,1.38,6.1941,19,1405.15,4404,15,0.116,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.184
VAcO3,V,Ac,FALSE,element not in BV,element not in BV,0.72,1.12,orthorhombic,-2.93,0.291,0.4,15.507,1.198,5.844,5.912,8.977,90,90,90,23,50.942,28,23,23,4,5,1.9,1.63,6.7462,6.11,2175.15,3680,9,0.489,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
WAcO3,W,Ac,FALSE,element not in BV,element not in BV,0.63,1.12,rhombohedral,-2.396,0.373,0.2,16.558,0,5.928,5.928,5.928,65.7,65.7,65.7,74,183.84,110,74,74,6,6,2,2.36,7.864,19.3,3680.15,5828,22,0.132,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-5.02
YAcO3,Y,Ac,FALSE,element not in BV,element not in BV,1.08,1.12,cubic,-2.181,1.513,0,20.264,0,4.662,4.662,4.662,90,90,90,39,88.906,50,39,39,5,3,2.3,1.22,6.2173,4.47,1799.15,3609,21,0.298,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.977
YbAcO3,Yb,Ac,FALSE,element not in BV,element not in BV,1.04,1.12,cubic,-2.392,0.801,0.071,19.318,0,4.588,4.588,4.588,90,90,90,70,173.054,103,70,70,6,,2.4,1.1,6.2542,6.97,1097.15,1469,16,0.155,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.242
ZnAcO3,Zn,Ac,FALSE,element not in BV,element not in BV,0.9,1.12,orthorhombic,-2.28,0.17,0.2,15.115,0,5.779,6.011,8.703,90,90,90,30,65.38,35,30,30,4,12,1.5,1.65,9.3942,7.13,692.88,1180,15,0.388,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.996
ZrAcO3,Zr,Ac,FALSE,element not in BV,element not in BV,0.89,1.12,orthorhombic,-3.152,0.282,0,16.054,0,6.077,6.412,8.241,90,90,90,40,91.224,51,40,40,5,4,2.2,1.33,6.6339,6.51,2125.15,4682,20,0.278,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.736
AcAgO3,Ac,Ag,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,6.077,8.248,90,90,90,89,227,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,0.12,7,47,107.868,61,47,47,5,11,1.93,7.5762,10.5,1234.15,2435,27,0.235,5,0.817
